id,dateSubmitted,employeeId,employeeName,problem,category,department,proposedSolution,status,implementationDate,createDate,createUserId,modifyDate,modifyUserId,deleted,deleteUserId,deleteDate
1,2020-01-01 00:00:00,1290,Emily Johnson,Lack of collaboration on shared projects,5,Operations,Check permissions on the shared folder and ensure everyone has the correct access,2,NULL,2020-01-01 00:00:00,2,NULL,NULL,NULL,NULL,NULL
2,2020-01-01 00:00:00,1290,Emily Johnson,Employee absence without notice,2,Finance,Monitor workloads and encourage regular breaks and time-off,4,NULL,2020-01-01 00:00:00,2,NULL,NULL,NULL,NULL,NULL
3,2020-01-01 00:00:00,1538,James Harris,Team communication is unclear,4,QA,Check permissions on the shared folder and ensure everyone has the correct access,4,NULL,2020-01-01 00:00:00,3,NULL,NULL,NULL,NULL,NULL
4,2020-01-01 00:00:00,1668,David Wilson,Employee burnout from overwork,3,Finance,Reconfigure email settings and ensure synchronization is enabled,3,2023-10-4 00:00:00,2020-01-01 00:00:00,4,NULL,NULL,NULL,NULL,NULL
5,2020-01-01 00:00:00,1917,John Smith,Printer not connecting to the network,1,Engineering,Reconfigure email settings and ensure synchronization is enabled,2,NULL,2020-01-01 00:00:00,6,NULL,NULL,NULL,NULL,NULL
6,2020-01-01 00:00:00,1290,Emily Johnson,Missed deadline due to lack of resources,3,HR,Clear cache and run a disk cleanup utility,2,NULL,2020-01-01 00:00:00,2,NULL,NULL,NULL,NULL,NULL
7,2020-01-01 00:00:00,1874,Jessica Lee,Customer service queries piling up,4,Design,Implement an email template for quick replies,2,NULL,2020-01-01 00:00:00,5,NULL,NULL,NULL,NULL,NULL
8,2020-01-01 00:00:00,1284,Sarah Davis,Employee absence without notice,4,HR,Automate data entry using a workflow management tool,5,NULL,2020-01-01 00:00:00,1,NULL,NULL,NULL,NULL,NULL
9,2020-01-01 00:00:00,1874,Jessica Lee,Printer not connecting to the network,4,Design,Schedule a training session for all employees,4,NULL,2020-01-01 00:00:00,5,NULL,NULL,NULL,NULL,NULL
10,2020-01-02 00:00:00,1917,John Smith,Emails not syncing across devices,2,Operations,Monitor workloads and encourage regular breaks and time-off,4,NULL,2020-01-02 00:00:00,6,NULL,NULL,NULL,NULL,NULL
11,2020-01-02 00:00:00,1917,John Smith,Employee absence without notice,5,HR,Check backup and retrieve from last sync,3,2024-3-1 00:00:00,2020-01-02 00:00:00,6,NULL,NULL,NULL,NULL,NULL
12,2020-01-02 00:00:00,1874,Jessica Lee,Lack of collaboration on shared projects,1,Finance,Schedule regular check-ins and use collaboration tools like Slack or Microsoft Teams,3,2024-8-5 00:00:00,2020-01-02 00:00:00,5,NULL,NULL,NULL,NULL,NULL
13,2020-01-02 00:00:00,1538,James Harris,Printer not connecting to the network,5,Design,Implement an email template for quick replies,3,2022-4-9 00:00:00,2020-01-02 00:00:00,3,NULL,NULL,NULL,NULL,NULL
14,2020-01-02 00:00:00,1917,John Smith,Difficulty accessing shared files,5,Operations,Check backup and retrieve from last sync,1,NULL,2020-01-02 00:00:00,6,NULL,NULL,NULL,NULL,NULL
15,2020-01-03 00:00:00,1874,Jessica Lee,Cannot log into company CRM system,1,QA,Schedule a training session for all employees,1,NULL,2020-01-03 00:00:00,5,NULL,NULL,NULL,NULL,NULL
16,2020-01-03 00:00:00,1538,James Harris,Employee burnout from overwork,2,Design,Schedule a training session for all employees,2,NULL,2020-01-03 00:00:00,3,NULL,NULL,NULL,NULL,NULL
17,2020-01-03 00:00:00,1917,John Smith,Customer service queries piling up,2,Engineering,Reconfigure email settings and ensure synchronization is enabled,5,NULL,2020-01-03 00:00:00,6,NULL,NULL,NULL,NULL,NULL
18,2020-01-03 00:00:00,1917,John Smith,Employee absence without notice,5,Finance,Assign more staff to handle customer service during peak hours,5,NULL,2020-01-03 00:00:00,6,NULL,NULL,NULL,NULL,NULL
19,2020-01-03 00:00:00,1538,James Harris,Emails not syncing across devices,1,Design,Schedule regular check-ins and use collaboration tools like Slack or Microsoft Teams,5,NULL,2020-01-03 00:00:00,3,NULL,NULL,NULL,NULL,NULL
20,2020-01-03 00:00:00,1538,James Harris,Computer running slow,3,Operations,Schedule regular check-ins and use collaboration tools like Slack or Microsoft Teams,5,NULL,2020-01-03 00:00:00,3,NULL,NULL,NULL,NULL,NULL
21,2020-01-03 00:00:00,1290,Emily Johnson,Confusion with new company software,4,Finance,Schedule a training session for all employees,1,NULL,2020-01-03 00:00:00,2,NULL,NULL,NULL,NULL,NULL
22,2020-01-03 00:00:00,1917,John Smith,Team communication is unclear,1,Finance,Set up a reminder system for employees to notify HR of absences in advance,2,NULL,2020-01-03 00:00:00,6,NULL,NULL,NULL,NULL,NULL
23,2020-01-03 00:00:00,1917,John Smith,Employee burnout from overwork,1,QA,Reconfigure email settings and ensure synchronization is enabled,5,NULL,2020-01-03 00:00:00,6,NULL,NULL,NULL,NULL,NULL
24,2020-01-04 00:00:00,1668,David Wilson,Customer service queries piling up,3,Operations,Check permissions on the shared folder and ensure everyone has the correct access,2,NULL,2020-01-04 00:00:00,4,NULL,NULL,NULL,NULL,NULL
25,2020-01-04 00:00:00,1917,John Smith,Customer service queries piling up,1,Operations,Reconfigure email settings and ensure synchronization is enabled,2,NULL,2020-01-04 00:00:00,6,NULL,NULL,NULL,NULL,NULL
26,2020-01-04 00:00:00,1290,Emily Johnson,Customer service queries piling up,3,Engineering,Restart the system and check network settings,4,NULL,2020-01-04 00:00:00,2,NULL,NULL,NULL,NULL,NULL
27,2020-01-05 00:00:00,1538,James Harris,Employee absence without notice,1,Finance,Automate data entry using a workflow management tool,3,2023-5-16 00:00:00,2020-01-05 00:00:00,3,NULL,NULL,NULL,NULL,NULL
28,2020-01-05 00:00:00,1961,Michael Brown,Unable to access shared company drive,3,Design,Monitor workloads and encourage regular breaks and time-off,3,2024-6-7 00:00:00,2020-01-05 00:00:00,7,NULL,NULL,NULL,NULL,NULL
29,2020-01-05 00:00:00,1961,Michael Brown,Computer running slow,3,Operations,Restart the system and check network settings,1,NULL,2020-01-05 00:00:00,7,NULL,NULL,NULL,NULL,NULL
30,2020-01-05 00:00:00,1538,James Harris,Employee absence without notice,2,Operations,Restart the system and check network settings,4,NULL,2020-01-05 00:00:00,3,NULL,NULL,NULL,NULL,NULL
31,2020-01-05 00:00:00,1290,Emily Johnson,Manual data entry errors,2,Engineering,Reconfigure email settings and ensure synchronization is enabled,3,2024-6-3 00:00:00,2020-01-05 00:00:00,2,NULL,NULL,NULL,NULL,NULL
32,2020-01-05 00:00:00,1668,David Wilson,Confusion with new company software,2,Finance,Restart the system and check network settings,4,NULL,2020-01-05 00:00:00,4,NULL,NULL,NULL,NULL,NULL
33,2020-01-05 00:00:00,1874,Jessica Lee,Computer running slow,2,Engineering,Reset the password and check internet connectivity,2,NULL,2020-01-05 00:00:00,5,NULL,NULL,NULL,NULL,NULL
34,2020-01-06 00:00:00,1874,Jessica Lee,Lack of collaboration on shared projects,1,Design,Set up a reminder system for employees to notify HR of absences in advance,3,2024-12-21 00:00:00,2020-01-06 00:00:00,5,NULL,NULL,NULL,NULL,NULL
35,2020-01-06 00:00:00,1917,John Smith,Difficulty accessing shared files,2,QA,Implement a clear communication plan using project management tools,5,NULL,2020-01-06 00:00:00,6,NULL,NULL,NULL,NULL,NULL
36,2020-01-06 00:00:00,1290,Emily Johnson,Confusion with new company software,5,HR,Request additional resources from the project manager and adjust the timeline,3,2021-7-9 00:00:00,2020-01-06 00:00:00,2,NULL,NULL,NULL,NULL,NULL
37,2020-01-06 00:00:00,1290,Emily Johnson,Missing important files from project folder,3,Finance,Implement an email template for quick replies,5,NULL,2020-01-06 00:00:00,2,NULL,NULL,NULL,NULL,NULL
38,2020-01-06 00:00:00,1961,Michael Brown,Team communication is unclear,5,Operations,Schedule regular check-ins and use collaboration tools like Slack or Microsoft Teams,5,NULL,2020-01-06 00:00:00,7,NULL,NULL,NULL,NULL,NULL
39,2020-01-06 00:00:00,1961,Michael Brown,Manual data entry errors,1,Finance,Assign more staff to handle customer service during peak hours,5,NULL,2020-01-06 00:00:00,7,NULL,NULL,NULL,NULL,NULL
40,2020-01-06 00:00:00,1917,John Smith,Employee absence without notice,5,Engineering,Monitor workloads and encourage regular breaks and time-off,1,NULL,2020-01-06 00:00:00,6,NULL,NULL,NULL,NULL,NULL
41,2020-01-07 00:00:00,1961,Michael Brown,Missing important files from project folder,1,QA,Implement an email template for quick replies,3,2024-8-10 00:00:00,2020-01-07 00:00:00,7,NULL,NULL,NULL,NULL,NULL
42,2020-01-07 00:00:00,1874,Jessica Lee,Cannot log into company CRM system,1,Operations,Clear cache and run a disk cleanup utility,4,NULL,2020-01-07 00:00:00,5,NULL,NULL,NULL,NULL,NULL
43,2020-01-07 00:00:00,1668,David Wilson,Employee burnout from overwork,4,Engineering,Reset the password and check internet connectivity,3,2021-10-3 00:00:00,2020-01-07 00:00:00,4,NULL,NULL,NULL,NULL,NULL
44,2020-01-07 00:00:00,1917,John Smith,Missed deadline due to lack of resources,4,Operations,Schedule regular check-ins and use collaboration tools like Slack or Microsoft Teams,3,2021-11-12 00:00:00,2020-01-07 00:00:00,6,NULL,NULL,NULL,NULL,NULL
45,2020-01-08 00:00:00,1668,David Wilson,Printer not connecting to the network,5,QA,Reset the password and check internet connectivity,1,NULL,2020-01-08 00:00:00,4,NULL,NULL,NULL,NULL,NULL
46,2020-01-08 00:00:00,1874,Jessica Lee,Team communication is unclear,1,Design,Restart the system and check network settings,5,NULL,2020-01-08 00:00:00,5,NULL,NULL,NULL,NULL,NULL
47,2020-01-08 00:00:00,1961,Michael Brown,Computer running slow,2,Design,Restart the system and check network settings,5,NULL,2020-01-08 00:00:00,7,NULL,NULL,NULL,NULL,NULL
48,2020-01-09 00:00:00,1538,James Harris,Lack of collaboration on shared projects,3,QA,Schedule regular check-ins and use collaboration tools like Slack or Microsoft Teams,2,NULL,2020-01-09 00:00:00,3,NULL,NULL,NULL,NULL,NULL
49,2020-01-09 00:00:00,1917,John Smith,Confusion with new company software,3,Design,Set up a reminder system for employees to notify HR of absences in advance,2,NULL,2020-01-09 00:00:00,6,NULL,NULL,NULL,NULL,NULL
50,2020-01-09 00:00:00,1961,Michael Brown,Confusion with new company software,5,Engineering,Clear cache and run a disk cleanup utility,1,NULL,2020-01-09 00:00:00,7,NULL,NULL,NULL,NULL,NULL
51,2020-01-09 00:00:00,1538,James Harris,Manual data entry errors,2,Engineering,Implement a clear communication plan using project management tools,3,2022-2-25 00:00:00,2020-01-09 00:00:00,3,NULL,NULL,NULL,NULL,NULL
52,2020-01-09 00:00:00,1290,Emily Johnson,Difficulty accessing shared files,1,Design,Reset the password and check internet connectivity,5,NULL,2020-01-09 00:00:00,2,NULL,NULL,NULL,NULL,NULL
53,2020-01-09 00:00:00,1961,Michael Brown,Printer not connecting to the network,5,Operations,Clear cache and run a disk cleanup utility,3,2021-7-8 00:00:00,2020-01-09 00:00:00,7,NULL,NULL,NULL,NULL,NULL
54,2020-01-10 00:00:00,1961,Michael Brown,Missed deadline due to lack of resources,2,Operations,Request additional resources from the project manager and adjust the timeline,5,NULL,2020-01-10 00:00:00,7,NULL,NULL,NULL,NULL,NULL
55,2020-01-10 00:00:00,1538,James Harris,Cannot log into company CRM system,2,QA,Restart the system and check network settings,4,NULL,2020-01-10 00:00:00,3,NULL,NULL,NULL,NULL,NULL
56,2020-01-10 00:00:00,1290,Emily Johnson,Employee burnout from overwork,5,Design,Reset the password and check internet connectivity,2,NULL,2020-01-10 00:00:00,2,NULL,NULL,NULL,NULL,NULL
